topic_id,df,label
предложил,16,предложил
придумал,16,придумал
уверен,16,уверен
поводу,16,поводу
чей,16,чей
братишка,16,братишка
ходить,16,ходить
ашем,16,ашем
место,16,место
дзержинска,16,дзержинска
факт,16,факт
неделя,16,неделя
купи,16,купи
чтоле,16,чтоле
дай,16,дай
точнее,16,точнее
сплю,16,сплю
хуета,16,хуета
сможешь,16,сможешь
остальное,16,остальное
настроения,16,настроения
немношко,16,немношко
злой,16,злой
песня,16,песня
легче,15,легче
максимум,15,максимум
держись,15,держись
красава,15,красава
своем,15,своем
группе,15,группе
чему,15,чему
план,15,план
своих,15,своих
мда,15,мда
курить,15,курить
хумус,15,хумус
вариант,15,вариант
изи,15,изи
здоровье,15,здоровье
твоей,15,твоей
номер,15,номер
получил,15,получил
говорится,15,говорится
пост,15,пост
парк,15,парк
серия,15,серия
ходит,15,ходит
солнце,15,солнце
представляешь,15,представляешь
слава,15,слава
класс,15,класс
грустно,15,грустно
одни,15,одни
опыт,15,опыт
серии,15,серии
единственный,15,единственный
макет,15,макет
имеешь,15,имеешь
видеть,15,видеть
ебиорот,15,ебиорот
месте,15,месте
неделе,15,неделе
дом,15,дом
вечер,15,вечер
пдф,15,пдф
помогает,15,помогает
печать,15,печать
аккуратно,15,аккуратно
хорайзон,15,хорайзон
напишу,15,напишу
гости,15,гости
ребята,15,ребята
сделай,15,сделай
удивительно,15,удивительно
вольф,15,вольф
вино,15,вино
плакал,15,плакал
свет,15,свет
фотошоп,15,фотошоп
узнал,15,узнал
итогу,15,итогу
искать,15,искать
читать,14,читать
тоесть,14,тоесть
секс,14,секс
друга,14,друга
вкус,14,вкус
дизайнер,14,дизайнер
по-любому,14,по-любому
отдыхаю,14,отдыхаю
днях,14,днях
мемы,14,мемы
вещь,14,вещь
самому,14,самому
пивком,14,пивком
спросить,14,спросить
состояние,14,состояние
никита,14,никита
каким,14,каким
спрашивал,14,спрашивал
весело,14,весело
ахуеть,14,ахуеть
город,14,город
досмотрел,14,досмотрел
зал,14,зал
com,14,com
подсел,14,подсел
хотелось,14,хотелось
идут,14,идут
проблемы,14,проблемы
постоянно,14,постоянно
никому,14,никому
компе,14,компе
каждого,14,каждого
разобрался,14,разобрался
цены,14,цены
большой,14,большой
пиши,14,пиши
жара,14,жара
возьму,14,возьму
размер,14,размер
сути,14,сути
ночь,14,ночь
новую,14,новую
уровне,14,уровне
охуенна,14,охуенна
даче,14,даче
души,14,души
очко,14,очко
послушал,14,послушал
вкусно,14,вкусно
ебнулся,14,ебнулся
деду,14,деду
дачу,14,дачу
портфолио,14,портфолио
поел,13,поел
факту,13,факту
странные,13,странные
концепт,13,концепт
должно,13,должно
лицо,13,лицо
вторник,13,вторник
жопу,13,жопу
конца,13,конца
ночью,13,ночью
куплю,13,куплю
yandex,13,yandex
места,13,места
бутылки,13,бутылки
руку,13,руку
заказал,13,заказал
синагоги,13,синагоги
случае,13,случае
попросить,13,попросить
кек,13,кек
живой,13,живой
заболел,13,заболел
считаешь,13,считаешь
запрос,13,запрос
пажилая,13,пажилая
жарко,13,жарко
прислали,13,прислали
несколько,13,несколько
сходи,13,сходи
остался,13,остался
имел,13,имел
спроси,13,спроси
слова,13,слова
телеге,13,телеге
нахой,13,нахой
платят,13,платят
голос,13,голос
база,13,база
примерно,13,примерно
рабочий,13,рабочий
новой,13,новой
юшков,13,юшков
утро,13,утро
мнение,13,мнение
знатно,13,знатно
текст,13,текст
понимают,13,понимают
красавчик,13,красавчик
рад,13,рад
песах,13,песах
понимание,13,понимание
понимает,13,понимает
своего,13,своего
роман,13,роман
понедельник,13,понедельник
нибудь,13,нибудь
